,date,rank,up,title,singer,album
0,202301,1,8,Ditto,NewJeans,NewJeans 'OMG'
1,202301,6,19,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
2,202301,9,22,Candy,NCT DREAM,Candy - Winter Special Mini Album
3,202301,15,6,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
4,202301,16,14,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
5,202301,18,68,그대를 알고,송하예,그대를 알고
6,202301,22,2,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
7,202301,23,11,잘가요,주호,잘가요
8,202301,31,5,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
9,202301,33,4,취중고백,김민석,취중고백
10,202301,36,19,I Don't Think That I Like Her,Charlie Puth,CHARLIE
11,202301,42,2,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
12,202301,43,3,우리들의 블루스,임영웅,IM HERO
13,202301,44,4,That's Hilarious,Charlie Puth,CHARLIE
14,202301,45,6,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
15,202301,47,3,첫사랑,백아,첫사랑
16,202301,48,35,오르트구름,윤하 (YOUNHA),YOUNHA 6th Album 'END THEORY'
17,202301,50,24,그 겨울이 잠든 거리에서,경서예지,그 겨울이 잠든 거리에서 (경서예지 x 전건호)
18,202301,51,1,LOVE me,BE'O (비오),LOVE me
19,202301,52,4,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
20,202301,54,7,STAY,The Kid LAROI,Stay
21,202301,55,5,다시 만날 수 있을까,임영웅,IM HERO
22,202301,61,23,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈)
23,202301,62,1,Dynamite,방탄소년단,Dynamite (DayTime Version)
24,202301,65,27,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK),쇼미더머니 11 Episode 3
25,202301,71,1,Butter,방탄소년단,Butter
26,202301,72,3,봄날,방탄소년단,YOU NEVER WALK ALONE
27,202301,74,2,무지개,임영웅,IM HERO
28,202301,76,2,Off My Face,Justin Bieber,Justice (The Complete Edition)
29,202301,77,13,Permission to Dance,방탄소년단,Butter / Permission to Dance
30,202301,78,11,아버지,임영웅,IM HERO
31,202301,80,1,Polaroid,임영웅,Polaroid
32,202301,84,12,Yet To Come,방탄소년단,Proof
33,202302,5,12,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS)
34,202302,12,24,I Don't Think That I Like Her,Charlie Puth,CHARLIE
35,202302,19,3,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
36,202302,21,60,마지막 사랑,신예영,마지막 사랑
37,202302,27,1,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04)
38,202302,32,1,취중고백,김민석,취중고백
39,202302,35,55,Unholy,Sam Smith,Gloria
40,202302,36,8,That's Hilarious,Charlie Puth,CHARLIE
41,202302,44,10,STAY,The Kid LAROI,Stay
42,202302,61,1,Dynamite,방탄소년단,Dynamite (DayTime Version)
43,202302,69,7,Off My Face,Justin Bieber,Justice (The Complete Edition)
44,202302,70,28,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
45,202302,71,1,봄날,방탄소년단,YOU NEVER WALK ALONE
46,202302,85,7,희재,성시경,국화꽃 향기 OST
47,202302,88,11,가슴으로 운다,김연지,가슴으로 운다
48,202303,5,72,Teddy Bear,STAYC(스테이씨),Teddy Bear
49,202303,6,3,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
50,202303,7,5,I Don't Think That I Like Her,Charlie Puth,CHARLIE
51,202303,16,3,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
52,202303,21,49,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
53,202303,26,10,That's Hilarious,Charlie Puth,CHARLIE
54,202303,31,1,취중고백,김민석,취중고백
55,202303,33,2,Unholy,Sam Smith,Gloria
56,202303,36,8,STAY,The Kid LAROI,Stay
57,202303,40,47,Poppy (Korean Ver.),STAYC(스테이씨),Teddy Bear
58,202303,55,6,Dynamite,방탄소년단,Dynamite (DayTime Version)
59,202303,64,7,봄날,방탄소년단,YOU NEVER WALK ALONE
60,202303,68,1,Off My Face,Justin Bieber,Justice (The Complete Edition)
61,202303,85,13,Permission to Dance,방탄소년단,Butter / Permission to Dance
62,202304,1,98,Kitsch,IVE (아이브),I've IVE
63,202304,12,5,CHRISTIAN,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1
64,202304,17,15,Nostalgia,우디 (Woody),Nostalgia
65,202304,24,5,NIGHT DANCER,imase,NIGHT DANCER
66,202304,47,1,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
67,202304,57,2,ELEVEN,IVE (아이브),ELEVEN
68,202304,61,3,봄날,방탄소년단,YOU NEVER WALK ALONE
69,202304,67,20,Expectations,Anne-Marie,Expectations
70,202304,82,2,London Boy,임영웅,Polaroid
71,202304,88,1,Polaroid,임영웅,Polaroid
72,202305,1,2,I AM,IVE (아이브),I've IVE
73,202305,17,42,Cupid,FIFTY FIFTY,The Beginning: Cupid
74,202305,19,47,FRIEND THE END,볼빨간사춘기,사랑.zip
75,202305,21,69,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
76,202305,23,4,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
77,202305,54,2,우리들의 블루스,임영웅,IM HERO
78,202305,73,10,가질 수 없는 너,#안녕,가질 수 없는 너
79,202305,77,4,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
80,202305,83,3,Permission to Dance,방탄소년단,Butter / Permission to Dance
81,202305,90,1,무지개,임영웅,IM HERO
82,202305,93,4,아버지,임영웅,IM HERO
83,202306,1,8,퀸카 (Queencard),(여자)아이들,I feel
84,202306,3,1,Spicy,aespa,MY WORLD - The 3rd Mini Album
85,202306,6,90,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN
86,202306,11,1,헤어지자 말해요,박재정,1집 Alone
87,202306,12,5,Cupid,FIFTY FIFTY,The Beginning: Cupid
88,202306,13,54,Allergy,(여자)아이들,I feel
89,202306,18,5,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
90,202306,20,30,사랑..그게 뭔데,지아,사랑..그게 뭔데
91,202306,24,55,잠깐 시간 될까,이무진,잠깐 시간 될까
92,202306,25,1,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
93,202306,26,1,LOVE DIVE,IVE (아이브),LOVE DIVE
94,202306,27,5,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
95,202306,32,67,부동의 첫사랑,10CM,5.4 [부동의 첫사랑]
96,202306,35,29,Thirsty,aespa,MY WORLD - The 3rd Mini Album
97,202306,39,16,Dynamite,방탄소년단,Dynamite (DayTime Version)
98,202306,41,1,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
99,202306,43,11,우리들의 블루스,임영웅,IM HERO
100,202306,50,2,TOMBOY,(여자)아이들,I NEVER DIE
101,202306,62,10,다시 만날 수 있을까,임영웅,IM HERO
102,202306,64,10,Butter,방탄소년단,Butter
103,202306,67,20,That’s Not How This Works (feat. Dan + Shay),Charlie Puth,That’s Not How This Works (feat. Dan + Shay)
104,202306,74,3,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
105,202306,77,6,Permission to Dance,방탄소년단,Butter / Permission to Dance
106,202306,79,7,Salty & Sweet,aespa,MY WORLD - The 3rd Mini Album
107,202306,80,10,무지개,임영웅,IM HERO
108,202306,85,15,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
109,202306,86,7,아버지,임영웅,IM HERO
110,202306,87,2,Polaroid,임영웅,Polaroid
